Symbol,Company Name,Type,Role,Sector,Enabled
5MD,Soon Lian Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5ML,Old Chang Kee Ltd.,Stock,Ignore,Consumer Staples,TRUE
5MZ,Kingsmen Creatives Ltd.,Stock,Ignore,Industrials,TRUE
5NF,Mencast Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5NV,Chasen Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5OC,Koyo International Limited,Stock,Ignore,Industrials,TRUE
5OI,Japan Foods Holding Ltd.,Stock,Ignore,Consumer Staples,TRUE
5OQ,TEHO International Inc Ltd.,Stock,Ignore,Industrials,TRUE
5OR,Heatec Jietong Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5OX,Mary Chia Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5PC,Goodland Group Limited,Stock,Ignore,Industrials,TRUE
5PD,Hengyang Petrochemical Logistics Limited,Stock,Ignore,Industrials,TRUE
5PF,Jason Marine Group Limited,Stock,Ignore,Industrials,TRUE
5PO,Hiap Tong Corporation Ltd.,Stock,Ignore,Industrials,TRUE
5QY,Net Pacific Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5RA,Asia-Pacific Strategic Investments Limited,Stock,Ignore,Financials,TRUE
5RC,ES Group (Holdings) Limited,Stock,Dividend_Secondary,Financials,TRUE
5RE,Asia Vets Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5SO,Duty Free International Limited,Stock,Ignore,Consumer Discretionary,TRUE
5SR,Zhongmin Baihui Retail Group Ltd.,Stock,Ignore,Consumer Discretionary,TRUE
5SY,OneApex Limited,Stock,Ignore,Industrials,TRUE
5TJ,Far East Group Limited,Stock,Ignore,Industrials,TRUE
5TP,CNMC Goldmine Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5TT,Keong Hong Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5UA,Luminor Financial Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5UF,Aspial Lifestyle Limited,Stock,Ignore,Consumer Discretionary,TRUE
5UL,Atlantic Navigation Holdings (Singapore) Limited,Stock,Dividend_Secondary,Financials,TRUE
5UX,Oxley Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5VC,Kori Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5VP,GDS Global Limited,Stock,Ignore,Information Technology,TRUE
5VS,Hafary Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
5WA,OUE Healthcare Limited,Stock,Ignore,Health Care,TRUE
5WF,ISOTeam Ltd.,Stock,Ignore,Industrials,TRUE
5WH,Rex International Holding Limited,Stock,Ignore,Industrials,TRUE
5WJ,MoneyMax Financial Services Ltd.,Stock,Dividend_Secondary,Financials,TRUE
5WV,AsiaPhos Limited,Stock,Ignore,Materials,TRUE
8A1,Heptamax International Limited,Stock,Ignore,Industrials,TRUE
8A8,China Medical System Holdings Limited,Stock,Dividend_Secondary,Health Care,TRUE
8AZ,Aztech Global Ltd.,Stock,Ignore,Information Technology,TRUE
8C8U,Centurion Accommodation REIT,REIT,Dividend_Core,Real Estate,TRUE
8K7,UG Healthcare Corporation Limited,Stock,Ignore,Health Care,TRUE
8YY,Embracing Future Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
8YZ,Yangzijiang Maritime Development Ltd.,Stock,Ignore,Real Estate,TRUE
9A4U,ESR-REIT,REIT,Dividend_Core,Real Estate,TRUE
9CI,CapitaLand Investment Limited,Stock,Ignore,Financials,TRUE
9G2,Singapore Institute of Advanced Medicine Holdings Ltd.,Stock,Dividend_Secondary,Health Care,TRUE
9I7,Bromat Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
9QX,Beverly Wilshire Ltd.,Stock,Ignore,Industrials,TRUE
9VW,Spackman Entertainment Group Limited,Stock,Ignore,Communication Services,TRUE
A04,ASL Marine Holdings Ltd.,Stock,Dividend_Secondary,Industrials,TRUE
A17U,CapitaLand Ascendas REIT,REIT,Dividend_Core,Real Estate,TRUE
A30,Aspial Corporation Limited,Stock,Ignore,Industrials,TRUE
A31,Addvalue Technologies Ltd,Stock,Ignore,Information Technology,TRUE
A33,Southern Archipelago Ltd.,Stock,Ignore,Industrials,TRUE
A35,ABF Singapore Bond Index Fund,ETF,Macro_Signal,Financials,TRUE
A50,Thomson Medical Group Limited,Stock,Ignore,Health Care,TRUE
A52,AnnAik Limited,Stock,Ignore,Industrials,TRUE
A55,Asia Enterprises Holding Limited,Stock,Ignore,Industrials,TRUE
A7RU,Keppel Infrastructure Trust,Trust,Dividend_Secondary,Utilities,TRUE
AAJ,Sunmoon Food Company Limited,Stock,Ignore,Consumer Staples,TRUE
ADN,First Sponsor Group Limited,Stock,Ignore,Industrials,TRUE
AGS,The Hour Glass Limited,Stock,Ignore,Consumer Discretionary,TRUE
AIY,iFAST Corporation Ltd.,Stock,Ignore,Financials,TRUE
AJ2,Ouhua Energy Holdings Limited,Stock,Dividend_Secondary,Energy,TRUE
AJBU,Keppel DC REIT,REIT,Dividend_Core,Real Estate,TRUE
AOF,Amplefield Limited,Stock,Ignore,Industrials,TRUE
AP4,Riverstone Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
AU8U,CapitaLand China Trust,Trust,Dividend_Secondary,Real Estate,TRUE
AVP,"AvePoint, Inc.",Stock,Ignore,Information Technology,TRUE
AVX,HL Global Enterprises Limited,Stock,Ignore,Industrials,TRUE
AW9U,First Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
AWC,Brook Crompton Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
AWG,Ascent Bridge Limited,Stock,Ignore,Industrials,TRUE
AWI,Thakral Corporation Ltd,Stock,Ignore,Industrials,TRUE
AWK,Fuxing China Group Limited,Stock,Ignore,Industrials,TRUE
AWM,Shanghai Turbo Enterprises Ltd,Stock,Ignore,Industrials,TRUE
AWV,Captii Limited,Stock,Ignore,Information Technology,TRUE
AWX,AEM Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
AWZ,Multi-Chem Limited,Stock,Ignore,Information Technology,TRUE
AYN,Global Testing Corporation Limited,Stock,Ignore,Industrials,TRUE
AYV,Acma Ltd.,Stock,Ignore,Industrials,TRUE
AZA,IPC Corporation Ltd,Stock,Ignore,Industrials,TRUE
B28,Bonvests Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
B49,World Precision Machinery Limited,Stock,Ignore,Industrials,TRUE
B58,Banyan Tree Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
B61,Bukit Sembawang Estates Limited,Stock,Ignore,Real Estate,TRUE
B69,Broadway Industrial Group Limited,Stock,Ignore,Industrials,TRUE
BAC,Camsing Healthcare Limited,Stock,Ignore,Health Care,TRUE
BAI,Digilife Technologies Limited,Stock,Ignore,Information Technology,TRUE
BAZ,Lion Asiapac Limited,Stock,Ignore,Industrials,TRUE
BBP,Hor Kew Corporation Limited,Stock,Ignore,Industrials,TRUE
BBW,Azeus Systems Holdings Ltd.,Stock,Dividend_Secondary,Information Technology,TRUE
BCV,Qian Hu Corporation Limited,Stock,Ignore,Consumer Staples,TRUE
BCY,Powermatic Data Systems Limited,Stock,Ignore,Information Technology,TRUE
BCZ,Travelite Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
BDA,PNE Industries Ltd,Stock,Ignore,Industrials,TRUE
BDR,Willas-Array Electronics (Holdings) Limited,Stock,Dividend_Secondary,Information Technology,TRUE
BDU,Federal International (2000) Ltd,Stock,Ignore,Industrials,TRUE
BDX,GSH Corporation Limited,Stock,Ignore,Industrials,TRUE
BEC,BRC Asia Limited,Stock,Ignore,Industrials,TRUE
BEH,China International Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BEI,LHT Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BEW,JB Foods Limited,Stock,Ignore,Consumer Staples,TRUE
BEZ,Beng Kuang Marine Limited,Stock,Ignore,Industrials,TRUE
BFI,Tiong Seng Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BFK,Pharmesis International Ltd.,Stock,Ignore,Industrials,TRUE
BFT,Lincotrade & Associates Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BFU,Tye Soon Limited,Stock,Ignore,Industrials,TRUE
BHD,China Mining International Limited,Stock,Ignore,Materials,TRUE
BHK,SIIC Environment Holdings Ltd.,Stock,Dividend_Secondary,Industrials,TRUE
BHU,SUTL Enterprise Limited,Stock,Ignore,Industrials,TRUE
BIP,Vibrant Group Limited,Stock,Ignore,Industrials,TRUE
BIX,Ellipsiz Ltd,Stock,Ignore,Information Technology,TRUE
BJD,VibroPower Corporation Limited,Stock,Ignore,Industrials,TRUE
BJV,Yamada Green Resources Limited,Stock,Ignore,Materials,TRUE
BJZ,Koda Ltd,Stock,Ignore,Industrials,TRUE
BKA,Sin Heng Heavy Machinery Limited,Stock,Ignore,Industrials,TRUE
BKK,Luxking Group Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BKV,China Shenshan Orchard Holdings Co. Ltd.,Stock,Dividend_Secondary,Consumer Staples,TRUE
BKW,Datapulse Technology Limited,Stock,Ignore,Information Technology,TRUE
BKX,Yongmao Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BKZ,Suntar Eco-City Limited,Stock,Ignore,Industrials,TRUE
BLR,Darco Water Technologies Limited,Stock,Ignore,Information Technology,TRUE
BLS,Hotung Investment Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BLU,GRP Limited,Stock,Ignore,Industrials,TRUE
BLZ,Advanced Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
BMGU,BHG Retail REIT,REIT,Dividend_Core,Real Estate,TRUE
BN2,Valuetronics Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BN4,Keppel Ltd.,Stock,Ignore,Industrials,TRUE
BNE,Kencana Agri Limited,Stock,Ignore,Consumer Staples,TRUE
BPF,YHI International Limited,Stock,Ignore,Industrials,TRUE
BQC,A-Smart Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
BQD,Envictus International Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
BQF,XMH Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
BQM,Tiong Woon Corporation Holding Ltd,Stock,Ignore,Industrials,TRUE
BQN,BH Global Corporation Limited,Stock,Ignore,Industrials,TRUE
BQP,Southern Packaging Group Limited,Stock,Ignore,Industrials,TRUE
BRD,Sapphire Corporation Limited,Stock,Ignore,Industrials,TRUE
BS6,Yangzijiang Shipbuilding (Holdings) Ltd.,Stock,Dividend_Secondary,Industrials,TRUE
BSL,Raffles Medical Group Ltd,Stock,Ignore,Health Care,TRUE
BTE,Bund Center Investment Ltd,Stock,Ignore,Financials,TRUE
BTG,HG Metal Manufacturing Limited,Stock,Ignore,Industrials,TRUE
BTJ,A-Sonic Aerospace Limited,Stock,Ignore,Industrials,TRUE
BTM,Penguin International Limited,Stock,Ignore,Industrials,TRUE
BTOU,Manulife US Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
BTP,Baker Technology Limited,Stock,Ignore,Information Technology,TRUE
BTX,Anchun International Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
BUOU,Frasers Logistics & Commercial Trust,Trust,Dividend_Secondary,Real Estate,TRUE
BVA,Top Glove Corporation Bhd.,Stock,Ignore,Industrials,TRUE
BWM,Zheneng Jinjiang Environment Holding Company Limited,Stock,Ignore,Industrials,TRUE
BXE,CDW Holding Limited,Stock,Ignore,Industrials,TRUE
C04,Casa Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
C05,Chemical Industries (Far East) Limited,Stock,Ignore,Materials,TRUE
C06,CSC Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
C07,Jardine Cycle & Carriage Limited,Stock,Ignore,Industrials,TRUE
C09,City Developments Limited,Stock,Ignore,Real Estate,TRUE
C13,CH Offshore Ltd.,Stock,Ignore,Industrials,TRUE
C2PU,Parkway Life Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
C33,Chuan Hup Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
C38U,CapitaLand Integrated Commercial Trust,Trust,Dividend_Secondary,Real Estate,TRUE
C41,Cortina Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
C52,ComfortDelGro Corporation Limited,Stock,Ignore,Industrials,TRUE
C6L,Singapore Airlines Limited,Stock,Ignore,Industrials,TRUE
C76,Creative Technology Ltd,Stock,Ignore,Information Technology,TRUE
C8R,Jiutian Chemical Group Limited,Stock,Ignore,Materials,TRUE
C9Q,Sinostar PEC Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
CC3,StarHub Ltd,Stock,Dividend_Secondary,Communication Services,TRUE
CEDU,Dasin Retail Trust,Trust,Dividend_Secondary,Real Estate,TRUE
CFA,NikkoAM-StraitsTrading Asia ex Japan REIT ETF,ETF,Macro_Signal,Real Estate,TRUE
CHJ,Uni-Asia Group Limited,Stock,Ignore,Industrials,TRUE
CHZ,HRnetGroup Limited,Stock,Ignore,Industrials,TRUE
CIN,Courage Investment Group Limited,Stock,Ignore,Financials,TRUE
CJLU,NetLink NBN Trust,Trust,Dividend_Secondary,Communication Services,TRUE
CJN,British and Malayan Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
CLN,APAC Realty Limited,Stock,Ignore,Real Estate,TRUE
CLR,Lion-Phillip S-REIT ETF,ETF,Macro_Signal,Real Estate,TRUE
CMOU,KORE US REIT,REIT,Dividend_Core,Real Estate,TRUE
CNE,MindChamps PreSchool Limited,Stock,Ignore,Industrials,TRUE
CRPU,Sasseur Real Estate Investment Trust,Trust,Dividend_Secondary,Real Estate,TRUE
CTO,Hong Lai Huat Group Limited,Stock,Ignore,Industrials,TRUE
CWBU,Stoneweg Europe Stapled Trust,Trust,Dividend_Secondary,Real Estate,TRUE
CWCU,Stoneweg Europe Stapled Trust,Trust,Dividend_Secondary,Real Estate,TRUE
CY6U,CapitaLand India Trust,Trust,Dividend_Secondary,Real Estate,TRUE
CYW,TrickleStar Limited,Stock,Ignore,Industrials,TRUE
D01,DFI Retail Group Holdings Limited,Stock,Dividend_Secondary,Consumer Discretionary,TRUE
D03,Del Monte Pacific Limited,Stock,Ignore,Industrials,TRUE
D05,DBS Group Holdings Ltd,Stock,Dividend_Secondary,Financials,TRUE
D5IU,Lippo Malls Indonesia Retail Trust,Trust,Dividend_Secondary,Real Estate,TRUE
D8DU,First Ship Lease Trust,Trust,Dividend_Secondary,Industrials,TRUE
DCRU,Digital Core REIT,REIT,Dividend_Core,Real Estate,TRUE
DHLU,Daiwa House Logistics Trust,Trust,Dividend_Secondary,Real Estate,TRUE
DM0,PSC Corporation Ltd.,Stock,Ignore,Industrials,TRUE
DRX,ST Group Food Industries Holdings Limited,Stock,Dividend_Secondary,Consumer Staples,TRUE
DU4,Mermaid Maritime Public Company Limited,Stock,Ignore,Industrials,TRUE
E27,The Place Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
E28,Frencken Group Limited,Stock,Ignore,Industrials,TRUE
E3B,Wee Hur Holdings Ltd.,Stock,Dividend_Secondary,Financials,TRUE
E5H,Golden Agri-Resources Ltd,Stock,Ignore,Materials,TRUE
E6R,Le tree Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
E9L,Joyas International Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
EB5,First Resources Limited,Stock,Ignore,Materials,TRUE
EH5,United Overseas Australia Ltd,Stock,Ignore,Industrials,TRUE
EMI,Emperador Inc.,Stock,Ignore,Industrials,TRUE
ENV,LS 2 Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
ER0,KSH Holdings Limited,Stock,Dividend_Secondary,Financials,TRUE
ES3,SPDR STI ETF,ETF,Macro_Signal,Financials,TRUE
F03,Food Empire Holdings Limited,Stock,Dividend_Secondary,Consumer Staples,TRUE
F10,F J Benjamin Holdings Ltd,Stock,Dividend_Secondary,Financials,TRUE
F13,Fu Yu Corporation Limited,Stock,Ignore,Industrials,TRUE
F17,GuocoLand Limited,Stock,Ignore,Industrials,TRUE
F1E,Low Keng Huat (Singapore) Limited,Stock,Ignore,Industrials,TRUE
F34,Wilmar International Limited,Stock,Ignore,Industrials,TRUE
F83,"COSCO SHIPPING International (Singapore) Co., Ltd.",Stock,Ignore,Industrials,TRUE
F86,MYP Ltd.,Stock,Ignore,Industrials,TRUE
F99,"Fraser and Neave, Limited",Stock,Ignore,Industrials,TRUE
F9D,Boustead Singapore Limited,Stock,Ignore,Industrials,TRUE
FQ7,Salt Investments Limited,Stock,Ignore,Financials,TRUE
